copy_id,@freememory,@totalmemory,@datarate
23.0,2330276880,11683758080,437.636761487965
13.0,2115750960,11683758080,377.8575477045154
11.0,9227911112,11691622400,366.3003663003663
9.0,6940595672,11691622400,399.4407829039345
32.0,6717300832,11691622400,359.9712023038157
4.0,5851565752,11691622400,533.0490405117271
30.0,3849014800,11691622400,380.01140034201023
20.0,3248520648,11691622400,567.2149744753261
16.0,2106853160,11691622400,542.7408412483039
22.0,10320209008,11709448192,371.6090672612412
17.0,9385774088,11709448192,563.5390250774866
31.0,9347673776,11709448192,550.2063273727648
28.0,8564822688,11709448192,360.49026676279743
27.0,8295536120,11709448192,358.23034210997673
12.0,7485268952,11709448192,458.1901489117984
7.0,4578821848,11709448192,315.75623618566465
33.0,1751300072,11709448192,357.9098067287044
8.0,1268017664,11709448192,546.1496450027307
3.0,10443345848,11717312512,497.1414367387522
10.0,10130617424,11717312512,517.063081695967
18.0,7938245240,11717312512,494.80455220188026
29.0,6400657480,11717312512,565.7708628005657
25.0,5539064840,11717312512,579.2064871126556
34.0,4014007272,11717312512,342.05575508807937
5.0,3742095856,11717312512,533.4755934915978
26.0,7546678344,11736186880,481.11618955977866
6.0,4191966880,11736186880,373.69207772795215
19.0,3508988912,11736186880,423.908435777872
14.0,10580886064,11744051200,464.0371229698376
1.0,10240871816,11744051200,400.5607850991388
0.0,6507730800,11744051200,402.5764895330113
21.0,5517777624,11744051200,414.5077720207254
23.0,3990305872,11744051200,497.38870927629944
4.0,9480056864,11762925568,517.196793379881
16.0,8047043768,11762925568,543.3306166802499
20.0,7850969496,11762925568,527.5652862041678
22.0,7137207936,11762925568,555.864369093941
31.0,6624698696,11762925568,562.1135469364812
12.0,4871902272,11762925568,563.6978579481398
24.0,1607002480,11762925568,361.85996019540437
3.0,9698656736,11770265600,586.8544600938967
13.0,8540017608,11770265600,376.5769158350593
15.0,8246252320,11770265600,361.6636528028933
2.0,4635684064,11770265600,339.5585738539898
9.0,4518103528,11770265600,384.46751249519417
25.0,4473329656,11770265600,581.2263876780006
17.0,3743902616,11770265600,431.40638481449525
10.0,3559381224,11770265600,514.668039114771
11.0,3223738920,11770265600,363.96724294813464
32.0,1166022760,11770265600,366.2332906061161
30.0,1072237416,11770265600,381.9709702062643
18.0,10325640960,11788615680,499.5004995004995
29.0,4268697968,11788615680,457.2473708276177
8.0,1305400304,11788615680,398.00995024875624
27.0,1297776800,11788615680,357.4620196604111
28.0,10138330776,11794907136,348.31069313827936
5.0,8483418912,11794907136,429.18454935622316
14.0,6228357704,11794907136,535.0454788657036
33.0,4052180560,11794907136,351.74111853675697
7.0,2810465992,11794907136,332.667997338656
19.0,10284830528,11812732928,443.7541601952518
23.0,10199531352,11812732928,539.8110661268556
34.0,10166963096,11812732928,371.3330857779428
4.0,9246163200,11812732928,588.5815185403178
16.0,5297770616,11812732928,555.7099194220617
6.0,3091313528,11812732928,388.42493688094777
26.0,2997543048,11812732928,368.66359447004606
0.0,1688406072,11812732928,433.9336081579518
12.0,1532264112,11812732928,548.9980785067253
21.0,1132349696,11812732928,437.54101947057535
20.0,11158959008,11817975808,507.4854097944684
22.0,11131772312,11817975808,513.347022587269
31.0,10713061008,11817975808,514.668039114771
1.0,10421150400,11817975808,396.19651347068145
